Case ID,"Activity (Action, Target Information, Goals)",Beginning Timestamp,End Timestamp
P1,Action\EXTERNAL\Consult artifacts,"0:00:33,6","0:00:43,0"
P1,Action\DISCO\MAP\Inspect process map (Frequency),"0:00:43,1","0:04:06,0"
P1,Goals\Characterize behavior,"0:01:06,9","0:01:14,5"
P1,Goals\Characterize behavior\Quantify behavior,"0:01:06,9","0:01:14,5"
P1,Goals\Make hypotheses/assumptions,"0:01:21,5","0:01:28,3"
P1,Goals\Make hypotheses/assumptions\Make assumptions,"0:01:21,5","0:01:28,3"
P1,Action\DISCO\MAP\Changes level of detail (Paths),"0:01:39,0","0:01:44,9"
P1,Target Information\Control-flow\Structuredness of the process,"0:01:42,6","0:01:44,9"
P1,Target Information\Control-flow,"0:01:42,6","0:01:44,9"
P1,Target Information\Mainstream behavior (Most frequent behavior),"0:02:08,7","0:02:12,8"
P1,Target Information\Control-flow\Activity,"0:02:14,0","0:02:54,8"
P1,Target Information\Control-flow,"0:02:14,0","0:02:54,8"
P1,Action\DISCO\MAP\Changes level of detail (Paths),"0:02:57,1","0:03:08,9"
P1,Action\DISCO\MAP\Changes level of detail (Paths),"0:03:26,6","0:03:31,3"
P1,Action\DISCO\MAP\Changes level of detail (Activities),"0:03:31,3","0:03:37,0"
P1,Goals\Characterize behavior,"0:03:37,0","0:03:47,3"
P1,Target Information\Control-flow\Paths,"0:03:37,1","0:03:46,1"
P1,Target Information\Control-flow,"0:03:37,1","0:03:46,1"
P1,Target Information\Mainstream behavior (Most frequent behavior),"0:03:39,7","0:03:46,0"
P1,Target Information\Mainstream behavior (Most frequent behavior),"0:03:57,6","0:04:03,5"
P1,Goals\Characterize behavior,"0:03:57,7","0:04:03,3"
P1,Goals\Characterize behavior\Quantify behavior,"0:03:57,7","0:04:03,3"
P1,Action\DISCO\MAP\Inspect process map (Performance),"0:04:06,0","0:04:30,4"
P1,Target Information\Temporal aspects,"0:04:11,4","0:10:13,6"
P1,Target Information\Temporal aspects\Mean duration,"0:04:11,4","0:10:13,6"
P1,Action\EXTERNAL\Consult artifacts,"0:04:30,3","0:04:56,0"
P1,Action\DISCO\MAP\Inspect process map (Performance),"0:04:56,6","0:05:30,0"
P1,Action\DISCO\MAP\Changes level of detail (Paths),"0:05:20,1","0:05:26,2"
P1,Action\EXTERNAL\Consult artifacts,"0:05:30,2","0:05:56,0"
P1,Goals\Check conformance,"0:05:49,0","0:06:03,0"
P1,Goals\Check conformance\Check temporal constraints,"0:05:49,0","0:06:03,0"
P1,Action\DISCO\MAP\Inspect process map (Performance),"0:05:56,4","0:06:07,1"
P1,Action\EXTERNAL\Consult artifacts,"0:06:07,3","0:06:20,9"
P1,Action\DISCO\MAP\Inspect process map (Performance),"0:06:21,2","0:06:24,3"
P1,Action\EXTERNAL\Consult artifacts,"0:06:24,4","0:07:15,4"
P1,Action\DISCO\MAP\Inspect process map (Performance),"0:07:16,0","0:09:02,3"
